ID,focus,focus ID,adj idx,det idx,before,before gender,deprel,number,dep tree size,after,focus ID after,after gender
837,amiga,3,-1,2,"Aconsejado por una amiga me recomendaron esta casa rural para celebrar algo especial , el cumpleaños de mi pareja . ",Fem,obl,Sing,4,"Aconsejado por un amigo me recomendaron esta casa rural para celebrar algo especial , el cumpleaños de mi pareja . ",3,Masc
849,director,26,-1,25,"« Hubo gente que hasta el año 1966 no pudo tener nada en papeles , porque automáticamente se lo iban a embargar » , recuerda el director de « Nos quitaron todo » . ",Masc,nsubj,Sing,9,"« Hubo gente que hasta el año 1966 no pudo tener nada en papeles , porque automáticamente se lo iban a embargar » , recuerda la directora de « Nos quitaron todo » . ",26,Fem
871,inventor,32,31,30,"Tras la usurpación de Marconi en la patente , Nikola Tesla llevó a los tribunales a Marconi ganando el litigio ante el Tribunal Supremo de los EEUU y quedando como el auténtico inventor de la radio . ",Masc,obl,Sing,8,"Tras la usurpación de Marconi en la patente , Nikola Tesla llevó a los tribunales a Marconi ganando el litigio ante el Tribunal Supremo de los EEUU y quedando como la auténtica inventora de la radio . ",32,Fem
882,guerrero,1,-1,0,Este guerrero se convirtió más tarde en un implacable enemigo de los reyes pastunes de Afganistán . ,Masc,nsubj,Sing,3,Esta guerrera se convirtió más tarde en un implacable enemigo de los reyes pastunes de Afganistán . ,1,Fem
883,trabajador,28,-1,27,"Porque las Administraciones pueden estimular , pero quienes más ayudan a que se instalen empresas , con su esfuerzo y con sus ganas de trabajar , son los trabajadores "" . ",Masc,nsubj,Plur,3,"Porque las Administraciones pueden estimular , pero quienes más ayudan a que se instalen empresas , con su esfuerzo y con sus ganas de trabajar , son las trabajadoras "" . ",28,Fem
894,jugador,4,5,3,"Se trataba de un jugador seguro en defensa , que se prodigaba poco en las subidas por las bandas . ",Masc,obl,Sing,18,"Se trataba de una jugadora segura en defensa , que se prodigaba poco en las subidas por las bandas . ",4,Fem
917,amigo,27,28,26,"Durante ese tiempo visitó Costa Rica , Nicaragua , México , El Salvador , Honduras y Panamá por motivos de trabajo y también para ver a algunos amigos exiliados . ",Masc,obj,Plur,5,"Durante ese tiempo visitó Costa Rica , Nicaragua , México , El Salvador , Honduras y Panamá por motivos de trabajo y también para ver a algunas amigas exiliadas . ",27,Fem
926,música,1,-1,0,La música de esta obra se ha perdido . ,Fem,nsubj,Sing,6,El músico de esta obra se ha perdido . ,1,Masc
972,niña,13,-1,12,"Desde que la mazmorra construida estaba en uso , Dutroux encadenaba a las niñas a una cama en una habitación de su casa . ",Fem,obj,Plur,4,"Desde que la mazmorra construida estaba en uso , Dutroux encadenaba a los niños a una cama en una habitación de su casa . ",13,Masc
992,mujer,10,-1,9,"Por esa razón , en 1949 , junto con otras mujeres que venían actuando políticamente desde 1945 , decidieron fundar el Partido Peronista Femenino . ",Fem,obl,Plur,12,"Por esa razón , en 1949 , junto con otros hombres que venían actuando políticamente desde 1945 , decidieron fundar el Partido Peronista Femenino . ",10,Masc
999,jugador,6,8,5,"Sergio Canales es uno de los jugadores más prometedores que acabaría jugando en otro equipo con regularidad y no tiene sitio en el club blanco , por lo que se le dará una salida airosa a este mediapunta de gran calidad que ya ha destacado en el Racing de Santander . ",Masc,nmod,Plur,14,"Sergio Canales es uno de las jugadoras más prometedoras que acabaría jugando en otro equipo con regularidad y no tiene sitio en el club blanco , por lo que se le dará una salida airosa a este mediapunta de gran calidad que ya ha destacado en el Racing de Santander . ",6,Fem
1031,actriz,17,18,-1,Perdió la virginidad a los 12 años y a menudo veía películas porno y fantaseaba con ser actriz porno . ,Fem,obl,Sing,5,Perdió la virginidad a los 12 años y a menudo veía películas porno y fantaseaba con ser actor porna . ,17,Masc
1054,hombre,1,-1,0,"Los hombres tenían unos ingresos medios de $ 24,335 frente a los $ 18,194 para las mujeres . ",Masc,nsubj,Plur,3,"Las mujeres tenían unos ingresos medios de $ 24,335 frente a los $ 18,194 para las mujeres . ",1,Fem
1062,capitana,5,-1,4,"El resto , con la capitana arribaron a la bahía de Cádiz el día 8 de febrero . ",Fem,obl,Sing,5,"El resto , con el capitan arribaron a la bahía de Cádiz el día 8 de febrero . ",5,Masc
1077,funcionario,25,-1,-1,"Por otra parte , hay expectativa de que China compre bonos de la Unión Europea , además de que el Banco Central Europeo comentó que funcionarios monitorean cuidadosamente la inflación , lo cual podría sugerir que el instituto mantendrá su postura de continuar con la restricción monetaria . ",Masc,nsubj,Plur,2,"Por otra parte , hay expectativa de que China compre bonos de la Unión Europea , además de que el Banco Central Europeo comentó que funcionarias monitorean cuidadosamente la inflación , lo cual podría sugerir que el instituto mantendrá su postura de continuar con la restricción monetaria . ",25,Fem
1083,funcionario,5,4,3,"Como Jrushchov y otros altos funcionarios se encontraban llorando junto a la cama de Stalin , Beria corrió de la habitación , gritando por su automóvil . ",Masc,conj,Plur,5,"Como Jrushchov y otras altas funcionarias se encontraban llorando junto a la cama de Stalin , Beria corrió de la habitación , gritando por su automóvil . ",5,Fem
1125,alemán,3,-1,2,Mientras que el alemán es el más difundido ( es el de hoja redondeada ) el francés también es popular ; ,Masc,nsubj,Sing,3,Mientras que la alemana es el más difundida ( es el de hoja redondeada ) el francés también es popular ; ,3,Fem
1127,sacerdote,5,-1,-1,"Terminados los estudios y ordenado sacerdote , le encargaron la cátedra de filosofía . ",Masc,conj,Sing,4,"Terminados los estudios y ordenado sacerdotisa , le encargaron la cátedra de filosofía . ",5,Fem
1194,niño,6,-1,5,Aunque está principalmente enfocado a los niños es muy interesante para todas las edades . ,Masc,obl,Plur,4,Aunque está principalmente enfocado a las niñas es muy interesante para todas las edades . ,6,Fem
1325,niña,4,-1,3,"Pujaló negó que la niña fuese suya , que nunca la había visto y que Enriqueta ya le había mentido en el pasado con un falso embarazo y un falso parto . ",Fem,nsubj,Sing,3,"Pujaló negó que el niño fuese suyo , que nunca la había visto y que Enriqueta ya le había mentido en el pasado con un falso embarazo y un falso parto . ",4,Masc
1329,ciudadano,13,-1,12,"Ante lo que Anonymous considera una "" plutocracia "" , pide que los ciudadanos voten nulo o voten a partidos minoritarios , que es la fórmula para dinamitar los habituales resultados que tanto benefician siempre a PP y PSOE , así como a nacionalistas , como PNV y CiU . ",Masc,nsubj,Plur,3,"Ante lo que Anonymous considera una "" plutocracia "" , pide que las ciudadanas voten nulo o voten a partidos minoritarios , que es la fórmula para dinamitar los habituales resultados que tanto benefician siempre a PP y PSOE , así como a nacionalistas , como PNV y CiU . ",13,Fem
1330,dueña,19,-1,18,"Aunque tengan un montón de pájaros de todo tipo también tiene cualquier tipo de peces que busqueis , la dueña es muy simpática y te aconseja , no como los chupasangres de tu mascota que no tienen ni idea y encima te la intentan clavar . ",Fem,nsubj,Sing,3,"Aunque tengan un montón de pájaros de todo tipo también tiene cualquier tipo de peces que busqueis , el dueño es muy simpático y te aconseja , no como los chupasangres de tu mascota que no tienen ni idea y encima te la intentan clavar . ",19,Masc
1337,hijo,3,-1,2,Fingolfin y sus hijos en ese momento se dieron cuenta de su error y tomaron la misma decisión que Finarfin y sus hijos . ,Masc,conj,Plur,4,Fingolfin y sus hijas en ese momento se dieron cuenta de su error y tomaron la misma decisión que Finarfin y sus hijos . ,3,Fem
1350,esposa,5,-1,4,"También se sabe que su esposa paseaba por el campo , ridiculizando a los reclusos y ordenando castigos a su antojo . ",Fem,nsubj,Sing,3,"También se sabe que su esposo paseaba por el campo , ridiculizando a los reclusos y ordenando castigos a su antojo . ",5,Masc
1373,narrador,1,-1,0,"El narrador toma claramente partido por los cuatro hermanos , pero en última instancia se mantiene la autoridad feudal . ",Masc,nsubj,Sing,3,"La narradora toma claramente partido por los cuatro hermanos , pero en última instancia se mantiene la autoridad feudal . ",1,Fem
1373,hermano,8,-1,6,"El narrador toma claramente partido por los cuatro hermanos , pero en última instancia se mantiene la autoridad feudal . ",Masc,obl,Plur,5,"El narrador toma claramente partido por las cuatro hermanas , pero en última instancia se mantiene la autoridad feudal . ",8,Fem
1413,ciudadano,14,15,-1,Según el Instituto Nacional de Estadística de España en 2009 viven en Uruguay 16.482 ciudadanos españoles . ,Masc,nsubj,Plur,4,Según el Instituto Nacional de Estadística de España en 2009 viven en Uruguay 16.482 ciudadanas españoles . ,14,Fem
1424,niño,16,-1,15,Está muy claro por la zona en la que se encuentra que tienes que ser un niño bien para ser acogido por el claustro en este colegio . ,Masc,csubj,Sing,17,Está muy claro por la zona en la que se encuentra que tienes que ser una niña bien para ser acogido por el claustro en este colegio . ,16,Fem
1448,nodriza,4,-1,3,Esto lo hace la nodriza para que nadie la inculpe de su actuación . ,Fem,nsubj,Sing,3,Esto lo hace el nodrizo para que nadie la inculpe de su actuación . ,4,Masc
1460,candidato,11,-1,10,"Una segunda elección fue impuesta por Juan , resultando en otro candidato . ",Masc,obl,Sing,4,"Una segunda elección fue impuesta por Juan , resultando en otra candidata . ",11,Fem
1491,comisionado,0,-1,-1,"Comisionado en el Estado Mayor de Francisco I. Madero , con él se encontraba cuando fue derrocado en 1913 . ",Masc,root,Sing,21,"Comisionada en el Estado Mayor de Francisco I. Madero , con él se encontraba cuando fue derrocado en 1913 . ",0,Fem
1596,competidor,14,-1,13,Se teme que estos obtengan monopolios en los contratos de construcción intimidando a los competidores y sobornando las autoridades locales para que sobrecarguen el presupuesto y así obtener cuantiosos beneficios . ,Masc,obj,Plur,4,Se teme que estos obtengan monopolios en los contratos de construcción intimidando a las competidoras y sobornando las autoridades locales para que sobrecarguen el presupuesto y así obtener cuantiosos beneficios . ,14,Fem
1615,amigo,6,-1,5,"Me aloje este verano con unos amigos y la verdad es que estaba todo muy limpio , los dueños muy amables , nosotros ibamos con moto y no hubo problema en que nos las guardaran en su garaje . ",Masc,obl,Plur,4,"Me aloje este verano con unas amigas y la verdad es que estaba todo muy limpio , los dueños muy amables , nosotros ibamos con moto y no hubo problema en que nos las guardaran en su garaje . ",6,Fem
1618,abogado,9,-1,-1,En la Universidad de Costa Rica se graduó como abogado y notario en 1983 . ,Masc,obl,Sing,5,En la Universidad de Costa Rica se graduó como abogada y notario en 1983 . ,9,Fem
1625,hombre,17,-1,-1,"El Partido Comunista volvió a crecer , el Ejército Rojo por esa época contaba con unos 60.000 hombres . ",Masc,obl,Plur,5,"El Partido Comunista volvió a crecer , el Ejército Rojo por esa época contaba con unos 60.000 mujeres . ",17,Fem
1628,hombre,7,-1,6,"Pero tenía un detalle curioso : sus hombres se hubieran hecho matar por él , pero él mismo nunca entraba en combate ; ",Masc,nsubj,Plur,3,"Pero tenía un detalle curioso : sus mujeres se hubieran hecho matar por él , pero él mismo nunca entraba en combate ; ",7,Fem
1631,música,1,-1,0,"Su música recrea paisajes cotidianos , apoyando su voz con una guitarra acústica y una armónica . ",Fem,nsubj,Sing,3,"Su músico recrea paisajes cotidianos , apoyando su voz con una guitarra acústica y una armónica . ",1,Masc
1647,niño,1,-1,0,"Los niños la empezaron a saludar , le llevaban comida a escondidas de sus padres y le regalaban ropa . ",Masc,nsubj,Plur,3,"Las niñas la empezaron a saludar , le llevaban comida a escondidas de sus padres y le regalaban ropa . ",1,Fem
1709,primo,52,-1,51,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a la agencia y le informa a su primo que Alma estaba hay , el cual la busca y la regresa a su casa . ",Masc,obj,Sing,15,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a la agencia y le informa a su prima que Alma estaba hay , el cual la busca y la regresa a su casa . ",52,Fem
1716,campeón,2,-1,-1,"Ha sido campeón de liga en 3 ocasiones , 1 vez ha ganado el torneo de copa y la suprecopa de Etiopía la ha ganado 3 veces . ",Masc,obj,Sing,4,"Ha sido campeóna de liga en 3 ocasiones , 1 vez ha ganado el torneo de copa y la suprecopa de Etiopía la ha ganado 3 veces . ",2,Fem
1758,usuario,18,-1,17,Desde ese mismo día y hasta 48 horas después se podía descargar de forma totalmente gratuita por el usuario que quisiera . ,Masc,obl,Sing,6,Desde ese mismo día y hasta 48 horas después se podía descargar de forma totalmente gratuita por la usuaria que quisiera . ,18,Fem
1803,niño,11,-1,-1,"En la actualidad , residen en España unos 160 de aquellos niños que si que regresaron . ",Masc,nsubj,Plur,10,"En la actualidad , residen en España unos 160 de aquellas niñas que si que regresaron . ",11,Fem
1848,compositor,7,-1,-1,Demetrio fue utilizada por más de 50 compositores para componer otras tantas óperas ; ,Masc,obl,Plur,6,Demetrio fue utilizada por más de 50 compositoras para componer otras tantas óperas ; ,7,Fem
1976,hijo,15,-1,14,"En el episodio , la madre de Phineas y Ferb finalmente descubre lo que sus hijos hacen mientras ella no está ... pero todo termina siendo un sueño de Perry de Candace . ",Masc,nsubj,Plur,3,"En el episodio , la madre de Phineas y Ferb finalmente descubre lo que sus hijas hacen mientras ella no está ... pero todo termina siendo un sueño de Perry de Candace . ",15,Fem
2037,entrenadora,21,-1,20,"A pesar de conocer la noticia de que iba a competir justo el día antes , Kanaeva no defraudó a sus entrenadoras y fans y logró ganar la medalla de oro en su debut en un campeonato europeo . ",Fem,obj,Plur,6,"A pesar de conocer la noticia de que iba a competir justo el día antes , Kanaeva no defraudó a sus entrenadores y fans y logró ganar la medalla de oro en su debut en un campeonato europeo . ",21,Masc
2043,abuelo,4,-1,3,Se unió a su abuelo en 1564 en la conquista de las Filipinas que encabezara Miguel López de Legazpi llegando a las Indias Orientales en 1565 . ,Masc,obl,Sing,4,Se unió a su abuela en 1564 en la conquista de las Filipinas que encabezara Miguel López de Legazpi llegando a las Indias Orientales en 1565 . ,4,Fem
2096,jugador,10,11,-1,"Gasca se encontró que no le quedaban más que 3 jugadores locales , de aquellos que habían sido subcampeones de la Recopa unos meses antes . ",Masc,nsubj,Plur,19,"Gasca se encontró que no le quedaban más que 3 jugadoras locales , de aquellas que habían sido subcampeones de la Recopa unos meses antes . ",10,Fem
2110,madre,7,-1,-1,En cuanto a su vida personal es madre de cinco hijos y está casada con el empresario Javier Merino . ,Fem,root,Sing,21,En cuanto a su vida personal es padre de cinco hijos y está casada con el empresario Javier Merino . ,7,Masc
2155,invitado,6,-1,-1,"Ese mismo año , asistió como invitado a las XI Jornadas de Cómic de Avilés . ",Masc,obl,Sing,3,"Ese mismo año , asistió como invitada a las XI Jornadas de Cómic de Avilés . ",6,Fem
2174,director,7,6,5,Nos pusimos en contacto con un joven director y nos ha hecho un videoclip a su medida . ,Masc,obl,Sing,5,Nos pusimos en contacto con una joven directora y nos ha hecho un videoclip a su medida . ,7,Fem
2192,propietario,14,-1,13,"Al margen de esta comparativa que podría resultar graciosa , cabe destacar que los propietarios de estos apartamentos destacan por su escasa amabilidad . ",Masc,nsubj,Plur,6,"Al margen de esta comparativa que podría resultar graciosa , cabe destacar que las propietarias de estos apartamentos destacan por su escasa amabilidad . ",14,Fem
2196,fundador,3,-1,-1,"Además , es fundador de una empresa agrícola con varios trabajadores a su cargo . ",Masc,root,Sing,16,"Además , es fundadora de una empresa agrícola con varios trabajadores a su cargo . ",3,Fem
2211,padre,7,-1,6,"Vivía en un hogar acomodado , su padre había empezado a forjar fortuna mediante el comercio y su madre era una dama argentina con contactos con la alta sociedad de Buenos Aires . ",Masc,nsubj,Sing,3,"Vivía en un hogar acomodado , su madre había empezado a forjar fortuna mediante el comercio y su madre era una dama argentina con contactos con la alta sociedad de Buenos Aires . ",7,Fem
2218,música,3,-1,2,"Fue grabada esta música entre 1988 y 1991 en los estudios de Antonio Giner , Francisco Corchado y por último con Tato quien grabó la voz de Marisa ( De Lille ) » . ",Fem,nsubj:pass,Sing,3,"Fue grabada este músico entre 1988 y 1991 en los estudios de Antonio Giner , Francisco Corchado y por último con Tato quien grabó la voz de Marisa ( De Lille ) » . ",3,Masc
2227,príncipe,5,6,4,"Él es representado como un príncipe heroico , a los dieciséis años de edad se ve obligado a huir de su hogar después de que su reino fue atacado . ",Masc,obl,Sing,5,"Él es representado como una princesa heroica , a los dieciséis años de edad se ve obligado a huir de su hogar después de que su reino fue atacado . ",5,Fem
2239,espectador,5,-1,-1,"Jugando ante unos 2 mil espectadores , que se dieron cita en la cancha Anacleto Macías "" Tolán "" , los Tigrillos ganaron el primer encuentro por marcador de 2-0 con goles de Juan Carlos Franco e Israel García ; ",Masc,obl,Plur,19,"Jugando ante unos 2 mil espectadoras , que se dieron cita en la cancha Anacleto Macías "" Tolán "" , los Tigrillos ganaron el primer encuentro por marcador de 2-0 con goles de Juan Carlos Franco e Israel García ; ",5,Fem
2260,acusado,17,-1,16,"Aclaró que no había excusa válida para no juzgar los crímenes de la dictadura y que los acusados no estaban siendo tratados como enemigos , sino como personas con garantías de acuerdo a derecho . ",Masc,nsubj:pass,Plur,3,"Aclaró que no había excusa válida para no juzgar los crímenes de la dictadura y que las acusadas no estaban siendo tratados como enemigos , sino como personas con garantías de acuerdo a derecho . ",17,Fem
2314,propietarios,0,2,-1,Propietarios muy cercanos y comprensivos . ,Masc,root,Plur,7,Propietarias muy cercanas y comprensivas . ,0,Fem
2389,lector,18,-1,17,"De acuerdo a algunas personas , se ha convertido en un libro clásico espiritual , ayudando a los lectores a encontrar claridad lejos de la trampa de las explicaciones . ",Masc,obj,Plur,4,"De acuerdo a algunas personas , se ha convertido en un libro clásico espiritual , ayudando a las lectoras a encontrar claridad lejos de la trampa de las explicaciones . ",18,Fem
2446,concejal,33,-1,-1,"En las últimas elecciones municipales , celebradas en 2011 , obtuvo la alcaldía Jon Iñaki Leza de la Llera de la coalición independentista Bildu con el 57,69 % de los votos y 6 concejales . ",Masc,conj,Plur,4,"En las últimas elecciones municipales , celebradas en 2011 , obtuvo la alcaldía Jon Iñaki Leza de la Llera de la coalición independentista Bildu con el 57,69 % de los votos y 6 concejalas . ",33,Fem
2454,productor,5,-1,-1,"Cameron , quien hacia de productor en ese momento reconoció que probablemente tendría problemas con la dirección . ",Masc,obl,Sing,3,"Cameron , quien hacia de productora en ese momento reconoció que probablemente tendría problemas con la dirección . ",5,Fem
2484,campeona,16,17,-1,"Es una de las pocas deportistas que tiene la triple corona , porque también ha sido campeona mundial y seis veces campeona europea . ",Fem,advcl,Sing,13,"Es una de las pocas deportistas que tiene la triple corona , porque también ha sido campeon mundial y seis veces campeona europea . ",16,Masc
2541,hombre,1,-1,0,"Los hombres tenían unos ingresos medios de $ 33,576 frente a los $ 25,357 para las mujeres . ",Masc,nsubj,Plur,3,"Las mujeres tenían unos ingresos medios de $ 33,576 frente a los $ 25,357 para las mujeres . ",1,Fem
2554,madre,7,-1,6,"Ella comenzó a coleccionar libros cuando su madre le regaló un ejemplar de El pozo de la soledad de Radclyffe Hall , cuando tenía 16 años . ",Fem,nsubj,Sing,3,"Ella comenzó a coleccionar libros cuando su padre le regaló un ejemplar de El pozo de la soledad de Radclyffe Hall , cuando tenía 16 años . ",7,Masc
2569,experto,24,-1,23,"Los puntos de vista sobre la naturaleza y severidad de los problemas con el consumo a largo plazo de las benzodiazepinas varían de un experto a otro , inclusive de un país a otro , algunos expertos inclusive cuestionan si realmente hay algún problema con el consumo de benzodiazepinas a largo plazo . ",Masc,obl,Sing,6,"Los puntos de vista sobre la naturaleza y severidad de los problemas con el consumo a largo plazo de las benzodiazepinas varían de una experta a otra , inclusive de un país a otro , algunos expertos inclusive cuestionan si realmente hay algún problema con el consumo de benzodiazepinas a largo plazo . ",24,Fem
2614,hijo,2,-1,1,A mi hijo jamás le demostraron cariño . ,Masc,iobj,Sing,4,A mi hija jamás le demostraron cariño . ,2,Fem
2703,profesor,1,-1,0,El profesor domina el idioma y adapta su metodología para hacer que el alumno aprenda disfrutando en las clases . ,Masc,nsubj,Sing,3,La profesora domina el idioma y adapta su metodología para hacer que el alumno aprenda disfrutando en las clases . ,1,Fem
2703,alumno,13,-1,12,El profesor domina el idioma y adapta su metodología para hacer que el alumno aprenda disfrutando en las clases . ,Masc,nsubj,Sing,3,El profesor domina el idioma y adapta su metodología para hacer que la alumna aprenda disfrutando en las clases . ,13,Fem
2765,mujer,5,-1,4,Era poco común que una mujer lograra tales cosas en aquella época . ,Fem,nsubj,Sing,3,Era poco común que un hombre lograra tales cosas en aquella época . ,5,Masc
2782,historiador,1,-1,0,"Algunos historiadores insistían incluso en que su existencia era pura falacia , y el viaje de Piteas se desestimó como si fuera mentira . ",Masc,nsubj,Plur,3,"Algunas historiadoras insistían incluso en que su existencia era pura falacia , y el viaje de Piteas se desestimó como si fuera mentira . ",1,Fem
2787,conductor,11,10,9,"Dunkleman dejó el programa , dejando a Seacrest como el único conductor . ",Masc,obl,Sing,5,"Dunkleman dejó el programa , dejando a Seacrest como la única conductora . ",11,Fem
2812,agricultor,9,8,-1,"Estas armas eran muy utilizadas en Inglaterra por pequeños agricultores y terratenientes para el control de alimañas , y durante mucho tiempo , en particular en las guerras previas a la Primera Guerra Mundial , entreguerras , y la Segunda Guerra Mundial y a comienzos de la década de 1980 , las armas norteamericanas como ésta fueron populares en Gran Bretaña por su sencillez , su eficiencia y su bajo precio . ",Masc,obl,Plur,6,"Estas armas eran muy utilizadas en Inglaterra por pequeñas agricultoras y terratenientes para el control de alimañas , y durante mucho tiempo , en particular en las guerras previas a la Primera Guerra Mundial , entreguerras , y la Segunda Guerra Mundial y a comienzos de la década de 1980 , las armas norteamericanas como ésta fueron populares en Gran Bretaña por su sencillez , su eficiencia y su bajo precio . ",9,Fem
2813,hermano,1,-1,0,"Sus hermanos y hermana pronto le acompañaron , de manera que hicieron de la vela su afición favorita regateando tanto en España como en Portugal . ",Masc,nsubj,Plur,5,"Sus hermanas y hermana pronto le acompañaron , de manera que hicieron de la vela su afición favorita regateando tanto en España como en Portugal . ",1,Fem
2820,amiga,1,-1,0,"Una amiga me comentó que en el Aula la habían preparado para dominar la contabilidad y el inglés ya que estaba buscando trabajo y no lo encontraba , y que gracias a ellos ahora está trabajando . ",Fem,nsubj,Sing,3,"Un amigo me comentó que en el Aula la habían preparado para dominar la contabilidad y el inglés ya que estaba buscando trabajo y no lo encontraba , y que gracias a ellos ahora está trabajando . ",1,Masc
2826,campeón,11,-1,10,Inició el Torneo en la fase semifinal por haber sido el campeón de la anterior edición y sus rivales fueron River y Atlético Mineiro . ,Masc,obl,Sing,10,Inició el Torneo en la fase semifinal por haber sido la campeóna de la anterior edición y sus rivales fueron River y Atlético Mineiro . ,11,Fem
2834,director,5,-1,-1,También efectuó múltiples aportaciones como director de programas de televisión . ,Masc,obl,Sing,7,También efectuó múltiples aportaciones como directora de programas de televisión . ,5,Fem
2862,camarero,11,-1,10,"El pescado es fresco , las raciones son inmensas , los camareros son de lo más amable que conozco y encima el precio es estupendo . ",Masc,nsubj,Plur,3,"El pescado es fresco , las raciones son inmensas , las camareras son de lo más amable que conozco y encima el precio es estupendo . ",11,Fem
